datetime	open	high	low	close	volume
2026-08-04 01:06:00	63459.1	63459.1	63403.6	63419.7	18.114
2026-08-04 01:07:00	63419.7	63446.3	63416.2	63446.2	6.283
2026-08-04 01:08:00	63446.2	63446.3	63416.3	63416.3	10.63
2026-08-04 01:09:00	63416.3	63436.4	63416.2	63424.1	7.626
2026-08-04 01:10:00	63424.1	63454.7	63412.8	63453	44.014
2026-08-04 01:11:00	63453	63453	63424.6	63427	35.307
2026-08-04 01:12:00	63427	63429.8	63424.7	63427.8	5.144
2026-08-04 01:13:00	63427.8	63428	63408.8	63424.5	18.397
2026-08-04 01:14:00	63424.5	63461.2	63424.5	63444.1	65.89
2026-08-04 01:15:00	63444.1	63475.2	63442.1	63456.4	17.473
2026-08-04 01:16:00	63456.4	63456.4	63394.7	63394.8	25.455
2026-08-04 01:17:00	63394.8	63410.5	63388.1	63404.6	14.615
2026-08-04 01:18:00	63404.6	63476.3	63399.3	63468.9	18.906
2026-08-04 01:19:00	63468.9	63498.7	63459.7	63482.9	56.1
2026-08-04 01:20:00	63482.9	63498.4	63478.4	63483.1	22.322
2026-08-04 01:21:00	63483.1	63514.6	63480.9	63514.5	24.404
2026-08-04 01:22:00	63514.5	63514.6	63502	63503.7	9.434
2026-08-04 01:23:00	63503.7	63548.1	63503.7	63542.4	33.333
2026-08-04 01:24:00	63542.4	63549.2	63475.9	63475.9	106.099
2026-08-04 01:25:00	63475.9	63491.5	63447.8	63467.1	13.938
2026-08-04 01:26:00	63467.1	63467.1	63437.4	63437.9	10.301
2026-08-04 01:27:00	63437.9	63448.9	63437.9	63448.9	4.217
2026-08-04 01:28:00	63448.9	63468.1	63444.9	63462.1	4.521
2026-08-04 01:29:00	63462.1	63500	63455.9	63500	43.952
2026-08-04 01:30:00	63500	63574.6	63499.4	63557.9	77.126
2026-08-04 01:31:00	63557.9	63600	63555	63589.1	69.539
2026-08-04 01:32:00	63589.1	63608	63562.5	63562.6	39.1
2026-08-04 01:33:00	63562.6	63574.2	63551.9	63551.9	16.091
2026-08-04 01:34:00	63551.9	63690.1	63551.9	63657.4	171.131
2026-08-04 01:35:00	63657.4	63737.9	63611	63615.1	283.107
2026-08-04 01:36:00	63615.1	63639.6	63608.7	63639.5	111.606
2026-08-04 01:37:00	63639.5	63690.8	63633.3	63662.7	149.444
2026-08-04 01:38:00	63662.7	63665.6	63641.4	63665.6	41.997
2026-08-04 01:39:00	63665.6	63691.9	63639	63689.1	56.931
2026-08-04 01:40:00	63689.1	63850.1	63689.1	63850.1	516.164
2026-08-04 01:41:00	63850.1	63904	63797	63797	981.454
2026-08-04 01:42:00	63797	63813.7	63783.3	63801.9	102.166
2026-08-04 01:43:00	63801.9	63811.8	63766.4	63770.1	44.83
2026-08-04 01:44:00	63770.1	63791.8	63750.1	63791.8	35.769
2026-08-04 01:45:00	63791.8	63831.4	63786.2	63823	99.579
2026-08-04 01:46:00	63823	63823.1	63766	63775	43.748
2026-08-04 01:47:00	63775	63775.1	63736.8	63739.2	62.692
2026-08-04 01:48:00	63739.2	63749.3	63724.8	63724.8	29.571
2026-08-04 01:49:00	63724.8	63782.8	63712	63782.8	40.817
2026-08-04 01:50:00	63782.8	63790.9	63738.5	63738.5	21.058
2026-08-04 01:51:00	63738.5	63848.2	63732.1	63848.2	76.203
2026-08-04 01:52:00	63848.2	63863.6	63824.5	63824.6	39.743
2026-08-04 01:53:00	63824.6	63855	63818.1	63838.7	29.947
2026-08-04 01:54:00	63838.7	63847.9	63818.6	63827.2	36.674
2026-08-04 01:55:00	63827.2	63845.6	63813.8	63843.2	23.848
2026-08-04 01:56:00	63843.2	63843.2	63801.9	63801.9	29.834
2026-08-04 01:57:00	63801.9	63823.8	63801.7	63820.5	13.969
2026-08-04 01:58:00	63820.5	63832	63811.6	63818.1	24.067
2026-08-04 01:59:00	63818.1	63823.8	63806.5	63823.8	5.505
2026-08-04 02:00:00	63823.8	63848.8	63806.9	63806.9	30.87
2026-08-04 02:01:00	63806.9	63840.6	63802.6	63840	18.024
2026-08-04 02:02:00	63840	63840	63778.8	63790.7	25.929
2026-08-04 02:03:00	63790.7	63790.7	63770.3	63770.4	17.022
2026-08-04 02:04:00	63770.4	63787.4	63770	63776.1	8.988
2026-08-04 02:05:00	63776.1	63776.2	63755.8	63758.4	23.068
2026-08-04 02:06:00	63758.4	63758.4	63728.4	63735.2	14.918
2026-08-04 02:07:00	63735.2	63739.4	63727	63730.2	10.054
2026-08-04 02:08:00	63730.2	63745.4	63726.6	63742.4	8.744
2026-08-04 02:09:00	63742.4	63790.4	63735.5	63785.5	40.471
2026-08-04 02:10:00	63785.5	63795	63760	63767.1	7.808
2026-08-04 02:11:00	63767.1	63768	63760.3	63760.4	12.86
2026-08-04 02:12:00	63760.4	63773.2	63748.6	63773.2	13.519
2026-08-04 02:13:00	63773.2	63773.2	63742.9	63746.1	43.747
2026-08-04 02:14:00	63746.1	63746.1	63736.5	63736.5	8.942
2026-08-04 02:15:00	63736.5	63753.6	63736.2	63737.7	14.321
2026-08-04 02:16:00	63737.7	63741.5	63731	63737.2	5.106
2026-08-04 02:17:00	63737.2	63744.9	63737.2	63744.8	7.783
2026-08-04 02:18:00	63744.8	63779.9	63744.8	63779.9	12.042
2026-08-04 02:19:00	63779.9	63783.9	63732.9	63737.2	71.262
2026-08-04 02:20:00	63737.2	63737.3	63683	63699.9	36.204
2026-08-04 02:21:00	63699.9	63706.6	63675.5	63681.4	18.458
2026-08-04 02:22:00	63681.4	63692.4	63665.9	63692.3	24.125
2026-08-04 02:23:00	63692.3	63692.4	63682.9	63686.2	4.831
2026-08-04 02:24:00	63686.2	63688.6	63680	63684.1	31.187
2026-08-04 02:25:00	63684.1	63684.2	63660.1	63677.9	32.278
2026-08-04 02:26:00	63677.9	63677.9	63662.8	63666	13.868
2026-08-04 02:27:00	63666	63685.5	63656	63682.7	42.908
2026-08-04 02:28:00	63682.7	63709	63672.2	63708.9	19.685
2026-08-04 02:29:00	63708.9	63709	63661.9	63661.9	9.07
2026-08-04 02:30:00	63661.9	63714.7	63652.2	63712.2	13.814
2026-08-04 02:31:00	63712.2	63735.9	63712.2	63734	15.578
2026-08-04 02:32:00	63734	63734	63711.4	63711.5	5.111
2026-08-04 02:33:00	63711.5	63711.5	63700	63708.5	10.237
2026-08-04 02:34:00	63708.5	63788.1	63708.3	63786.1	121.975
2026-08-04 02:35:00	63786.1	63831	63774.9	63813.5	56.524
2026-08-04 02:36:00	63813.5	63964.5	63811.7	63905.2	200.846
2026-08-04 02:37:00	63905.2	63905.3	63852.8	63852.8	28.997
2026-08-04 02:38:00	63852.8	63880.2	63852.8	63856.5	53.872
2026-08-04 02:39:00	63856.5	63856.6	63824	63824	9.075
2026-08-04 02:40:00	63824	63827.2	63813.1	63827.1	9.932
2026-08-04 02:41:00	63827.1	63862.1	63827.1	63845.8	26.954
2026-08-04 02:42:00	63845.8	63848	63841.3	63844.6	4.055
2026-08-04 02:43:00	63844.6	63859	63844.3	63854.2	12.627
2026-08-04 02:44:00	63854.2	63897	63854.2	63871.4	32.504
2026-08-04 02:45:00	63871.4	63898.9	63868.2	63898.8	12.371
2026-08-04 02:46:00	63898.8	63898.9	63859	63859	10.384
2026-08-04 02:47:00	63859	63859.1	63841.3	63848.5	26.687
2026-08-04 02:48:00	63848.5	63850.1	63833.6	63836.3	12.944
2026-08-04 02:49:00	63836.3	63842.7	63827.1	63831.9	18.515
2026-08-04 02:50:00	63831.9	63831.9	63810.3	63810.3	33.828
2026-08-04 02:51:00	63810.3	63819.3	63806.7	63813.9	3.709
2026-08-04 02:52:00	63813.9	63816.3	63800	63800.1	10.205
2026-08-04 02:53:00	63800.1	63803.2	63785.8	63788.3	33.05
2026-08-04 02:54:00	63788.3	63788.3	63774.6	63780.7	38.92
2026-08-04 02:55:00	63780.7	63790.2	63780.6	63789.6	4.455
2026-08-04 02:56:00	63789.6	63789.6	63778.9	63782.4	5.193
2026-08-04 02:57:00	63782.4	63790.1	63779.2	63780.1	8.314
2026-08-04 02:58:00	63780.1	63793.9	63780	63791	4.552
2026-08-04 02:59:00	63791	63800	63785.9	63797.9	10.426
2026-08-04 03:00:00	63797.9	63814.4	63779.8	63788.9	19.097
2026-08-04 03:01:00	63788.9	63793.9	63776.3	63790.7	15.393
2026-08-04 03:02:00	63790.7	63794.9	63775.9	63775.9	11.743
2026-08-04 03:03:00	63775.9	63776	63753.3	63753.4	10.492
2026-08-04 03:04:00	63753.4	63771.7	63753.3	63771.7	6.006
2026-08-04 03:05:00	63771.7	63781	63771.6	63771.6	5.206
2026-08-04 03:06:00	63771.6	63780.9	63743.1	63747.7	11.129
2026-08-04 03:07:00	63747.7	63754.1	63747.7	63754	6.225
2026-08-04 03:08:00	63754	63754.1	63743.1	63743.1	10.878
2026-08-04 03:09:00	63743.1	63764.4	63736.3	63758.7	67.582
2026-08-04 03:10:00	63758.7	63758.7	63741	63743.4	9.333
